,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score,landing_rate
1036,ID_2714,333346,250.0,300.0,8778,16.0,15.0,5.0,1.0,61.18181818181818,,,,93.75
1037,ID_3033,333519,250.0,300.0,7128,1.0,0.0,0.0,,39.0,,,,0.0
1038,ID_205,333346,,,4900,,,,3.0,,,,,
1039,ID_474,333519,,,2659,,,,,,,,,
1040,ID_471,333346,,,2631,,,,,,,,,
1041,ID_4368,333346,,,4453,,,,1.0,,,,,
1042,ID_4419,333519,250.0,300.0,47820,8.0,7.0,5.0,,60.3,,,,87.5
1043,ID_3649,333519,250.0,300.0,16844,3.0,3.0,3.0,1.0,82.66666666666667,,,,100.0
1044,ID_519,333519,250.0,300.0,8810,14.0,12.0,5.0,1.0,63.81818181818182,,,,85.71
1045,ID_1794,333519,250.0,300.0,13373,17.0,16.0,6.0,,47.130434782608695,,,,94.12
1046,ID_4205,333519,250.0,300.0,3125,12.0,12.0,4.0,2.0,59.0,,,,100.0
1047,ID_2901,333519,,,9981,,,,,,,,,
1048,ID_181,333519,250.0,300.0,2269,1.0,0.0,0.0,,59.0,,,,0.0
1049,ID_350,333519,250.0,300.0,5742,30.0,22.0,6.0,32.0,53.57142857142857,,,,73.33
1050,ID_3789,333519,250.0,300.0,4176,2.0,2.0,2.0,,56.0,,,,100.0
1051,ID_2075,333346,250.0,300.0,11921,35.0,27.0,8.0,7.0,54.38775510204081,,,,77.14
1052,ID_2493,333346,250.0,300.0,5299,6.0,6.0,2.0,,61.375,,,,100.0
1053,ID_562,333346,250.0,300.0,15078,6.0,4.0,0.0,8.0,21.166666666666668,,,,66.67
1054,ID_523,333346,250.0,300.0,13543,5.0,5.0,1.0,3.0,58.8,,,,100.0
1055,ID_2621,333346,250.0,300.0,10259,3.0,3.0,1.0,,77.66666666666667,,,,100.0
1056,ID_630,333519,,,2173,,,,2.0,,,,,
1057,ID_1239,333519,250.0,300.0,5174,7.0,6.0,2.0,,71.55555555555556,,,,85.71
1058,ID_2580,333519,250.0,300.0,3316,3.0,3.0,3.0,,77.6,,,,100.0
1059,ID_2040,333519,250.0,300.0,4655,3.0,2.0,0.0,,20.8,,,,66.67
1060,ID_2252,333519,250.0,300.0,2006,3.0,3.0,1.0,,39.66666666666666,,,,100.0
1061,ID_280,333519,250.0,300.0,11352,1.0,1.0,0.0,,7.0,,,,100.0
1062,ID_4257,333519,250.0,300.0,2453,5.0,4.0,0.0,,109.58823529411764,,,,80.0
1063,ID_117,333519,250.0,300.0,5773,5.0,5.0,1.0,,86.52941176470588,,,,100.0
1064,ID_1317,333519,250.0,300.0,3164,8.0,7.0,2.0,2.0,54.63636363636363,,,,87.5
1065,ID_809,333519,250.0,300.0,8921,10.0,4.0,1.0,52.0,35.875,,,,40.0
1066,ID_2017,333346,,,3272,,,,,,,,,
1067,ID_2270,333519,250.0,300.0,5338,1.0,1.0,1.0,,88.0,,,,100.0
1068,ID_478,333519,250.0,300.0,8596,20.0,11.0,4.0,10.0,51.92,,,,55.0
1069,ID_507,333346,250.0,300.0,35774,54.0,30.0,15.0,78.0,58.0,,,,55.56
1070,ID_2489,333519,250.0,300.0,35591,32.0,16.0,8.0,,57.10204081632653,,,,50.0
1071,ID_533,333519,250.0,300.0,2635,2.0,2.0,0.0,,59.0,,,,100.0
1072,ID_2436,333519,,,2784,,,,,,,,,
1073,ID_2178,333346,,,2868,,,,,,,,,
1074,ID_4048,333519,,,2713,,,,,,,,,
1075,ID_2955,333519,,,3127,,,,,,,,,
1076,ID_2764,333346,250.0,300.0,6149,2.0,2.0,0.0,1.0,80.0,,,,100.0
1077,ID_4523,333346,250.0,300.0,401978,203.0,171.0,137.0,44.0,64.15298507462687,,,,84.24
1078,ID_2767,333519,250.0,300.0,2717,3.0,3.0,0.0,,59.0,,,,100.0
1079,ID_4564,333519,250.0,300.0,17511,134.0,123.0,39.0,2.0,60.18493150684932,,,,91.79
1080,ID_1593,333519,250.0,300.0,3267,7.0,5.0,2.0,,27.047619047619047,,,,71.43
1081,ID_4030,333346,,,2323,,,,,,,,,
1082,ID_3162,333346,250.0,300.0,238991,166.0,134.0,46.0,,70.55555555555556,,,,80.72
1083,ID_3362,333346,250.0,300.0,5446,9.0,9.0,3.0,,70.54545454545455,,,,100.0
1084,ID_4188,333519,250.0,300.0,2810,1.0,1.0,0.0,,114.0,,,,100.0
1085,ID_346,333519,250.0,300.0,3340,6.0,6.0,5.0,3.0,46.6,,,,100.0
1086,ID_4529,333519,250.0,300.0,9257,28.0,25.0,11.0,,68.609375,,,,89.29
1087,ID_1670,333519,250.0,300.0,19734,31.0,22.0,9.0,4.0,68.12820512820512,,,,70.97
1088,ID_88,333519,250.0,300.0,27898,18.0,14.0,5.0,2.0,75.5909090909091,,,,77.78
1089,ID_1681,333519,250.0,300.0,12967,49.0,42.0,13.0,1.0,73.5050505050505,,,,85.71
1090,ID_4507,333519,250.0,300.0,4755,25.0,21.0,6.0,,57.41860465116279,,,,84.0
1091,ID_2855,333519,250.0,300.0,231158,356.0,310.0,114.0,31.0,55.7404181184669,,,,87.08
1092,ID_215,333519,250.0,300.0,13445,3.0,3.0,2.0,,56.66666666666666,,,,100.0
1093,ID_759,333519,250.0,300.0,29227,16.0,14.0,8.0,2.0,66.0,,,,87.5
1094,ID_3801,333519,250.0,300.0,39041,16.0,14.0,6.0,2.0,59.0,,,,87.5
1095,ID_3855,333519,250.0,300.0,3673,3.0,3.0,2.0,,33.5,,,,100.0
1096,ID_1152,333519,250.0,300.0,2507,9.0,9.0,2.0,,47.0,,,,100.0
1097,ID_1765,333519,250.0,300.0,2417,1.0,1.0,1.0,2.0,60.0,,,,100.0
1098,ID_3247,333519,250.0,300.0,31555,6.0,6.0,2.0,,34.5,,,,100.0
1099,ID_735,333519,250.0,300.0,6348,28.0,26.0,15.0,2.0,76.23076923076923,,,,92.86
1100,ID_3425,333519,250.0,300.0,7111,2.0,1.0,1.0,,55.0,,,,50.0
1101,ID_1918,333519,250.0,300.0,41871,50.0,45.0,19.0,3.0,61.4125,,,,90.0
1102,ID_2464,333519,250.0,300.0,2327,1.0,0.0,0.0,,42.0,,,,0.0
1103,ID_1709,333519,250.0,300.0,55898,42.0,33.0,9.0,4.0,60.66153846153846,,,,78.57
1104,ID_3723,333519,250.0,300.0,2236,1.0,1.0,0.0,,118.0,,,,100.0
1105,ID_3626,333519,250.0,300.0,2495,20.0,16.0,4.0,1.0,56.125,,,,80.0
1106,ID_305,333346,250.0,300.0,48142,33.0,17.0,9.0,8.0,61.36363636363637,,,,51.52
1107,ID_1606,333346,250.0,300.0,2909,8.0,6.0,4.0,26.0,67.2,,,,75.0
1108,ID_127,333519,,,3157,,,,,,,,,
1109,ID_506,333519,250.0,300.0,2247,4.0,4.0,1.0,,54.6,,,,100.0
1110,ID_4490,333519,250.0,300.0,3685,1.0,1.0,1.0,,60.0,,,,100.0
1111,ID_3475,333519,250.0,300.0,2272,1.0,1.0,1.0,,117.0,,,,100.0
1112,ID_3054,333519,250.0,300.0,6213,8.0,6.0,0.0,,62.18181818181818,,,,75.0
1113,ID_1980,333519,250.0,300.0,18168,15.0,10.0,3.0,,52.642857142857146,,,,66.67
